true_class,predicted_class,count_across_five_seeds
artwork,illustrations,132
artwork,landmark,89
artwork,meme,51
illustrations,artwork,39
storefronts,illustrations,35
landmark,storefronts,32
meme,illustrations,32
storefronts,packaged,28
storefronts,landmark,24
illustrations,packaged,21
dishes,packaged,19
toys,meme,18
furniture,storefronts,16
illustrations,meme,16
toys,illustrations,15
artwork,storefronts,14
artwork,furniture,14
illustrations,storefronts,14
packaged,toys,14
storefronts,meme,12
toys,landmark,12
artwork,toys,10
meme,artwork,10
illustrations,dishes,9
landmark,artwork,9
landmark,cars,9
meme,apparel,9
packaged,furniture,9
furniture,landmark,8
meme,storefronts,8
storefronts,apparel,8
storefronts,furniture,8
storefronts,artwork,8
packaged,apparel,7
toys,furniture,7
artwork,apparel,6
apparel,meme,5
furniture,meme,5
meme,toys,5
toys,artwork,5
apparel,illustrations,4
landmark,apparel,4
landmark,meme,4
toys,storefronts,4
toys,packaged,3
apparel,artwork,2
artwork,packaged,2
artwork,dishes,2
cars,storefronts,2
furniture,artwork,2
illustrations,toys,2
landmark,packaged,2
landmark,illustrations,2
packaged,storefronts,2
apparel,storefronts,1
illustrations,landmark,1
meme,landmark,1
packaged,illustrations,1
packaged,landmark,1
packaged,dishes,1
storefronts,toys,1
storefronts,dishes,1
